Employee_ID,Subfield,Entry_Year,Exit_Year,Status,Exit_Reason,Min_Package_LPA,Avg_Package_LPA,Max_Package_LPA,Experience_Years,City,Education_Level,Work_Mode
EMP01098,  Database Administration  ,2019-01-01,,active,,4.49,8.11,15.84,6.0,CHENNAI,Master's,Onsite
EMP00453,Cybersecurity,2024-01-01,,Y,,6.88,10.27,26.29,1.0,Mumbai,Bachelor's,Remote
EMP01574,business analysis,2023-01-01,,Yes,,7.33,11.54,33.32,1.0,CHENNAI,Diploma,onsite
EMP01072,AI/ML Engineering,2020.0,,1,,5.62,7.81,15.66,4.0,PUNE,Bachelor's,Hybrid
EMP01238,Networking,2022,,Yes,,4.07,5.44,10.25,3.0,NOIDA,Diploma,Hybrid
EMP01257,QA & Testing,2024,,active,,9.7,14.32,25.49,0.0,hyderabad,Master's,Remote
EMP00598,Data Science,2017,2024,EXITED,Company Restructuring,7.07,9.95,23.31,8.0,Chennai,Master's,Onsite
EMP00440,UI/UX DESIGN,2023,,active,,5.16,8.81,18.83,1.0,noida,Bachelor's,WFH
EMP01724,  DevOps  ,2015,,active,,4.63,6.25,14.5,9.0,Gurgaon,MASTER'S,Onsite
EMP00047,Business Analysis,2015,2017,Exited,Health Reasons,5.65,9.53,28.27,9.0,  Mumbai  ,Bachelor's,onsite
EMP01533,Cybersecurity,2018.0,,active,,5.6,8.37,21.59,6.0,Gurgaon,Diploma,Hybrid
EMP01387,Software Development,2017,,active,,8.47,11.7,24.8,7.0,NOIDA,Diploma,Onsite
EMP00045,  Database Administration  ,2019-01-01,,active,,1.62,2.5,6.44,6.0,Chennai,Bachelor's,Onsite
EMP01411,QA & Testing,2023,,1,,14.84,20.72,50.7,2.0,  Noida  ,Bachelor's,onsite
EMP01356,QA & Testing,2024,,1,,8.92,14.71,35.93,0.0,Gurgaon,Diploma,Onsite
EMP00117,data science,2016,,Y,,5.01,8.39,15.24,8.0,gurgaon,Diploma,Remote
EMP00173,AI/ML Engineering,2015,,Y,,5.66,7.64,17.55,9.0,Pune,Master's,REMOTE
EMP00020,cybersecurity,2020-01-01,,active,,2.52,3.39,6.73,5.0,Mumbai,,Hybrid
EMP01241,data science,2021,2021,Left,CAREER SWITCH,10.67,14.36,36.98,3.0,Delhi,Master's,Hybrid
EMP01299,DATABASE ADMINISTRATION,2024,,Working,,2.26,3.28,8.11,0.0,mumbai,Master's,Remote
EMP00452,Database Administration,2024,,Yes,,4.8,6.75,11.52,0.0,Hyderabad,Master's,Hybrid
EMP01182,IT Support & Helpdesk,2021.0,01/21,exited,CAREER SWITCH,6.6,11.54,24.04,3.0,Mumbai,MASTER'S,Onsite
EMP02195,Cybersecurity,01/16,,Working,,3.75,5.19,14.78,9.0,  Hyderabad  ,Master's,onsite
EMP01439,  QA & Testing  ,2023,,Working,,3.07,4.74,8.54,1.0,Chennai,Bachelor's,Hybrid
EMP02114,UI/UX Design,01/16,,active,,1.6,2.5,5.81,9.0,Hyderabad,Master's,Remote
EMP01173,Networking,2021,2023-01-01,N,  Layoff  ,4.94,7.43,18.42,3.0,Mumbai,MASTER'S,Remote
EMP02003,Database Administration,01/22,2024.0,Exited,Company Restructuring,3.91,6.91,20.17,2.0,BANGALORE,Master's,WFH
EMP00996,Software_Development,2017,2024,0,Career Switch,5.59,8.75,18.38,7.0,GURGAON,PhD,Remote
EMP02125,Cloud Computing,01/19,,1,,3.52,5.86,12.89,5.0,HYDERABAD,Bachelor's,Onsite
EMP00597,  Database Administration  ,2023,2023.0,0,Higher Salary Elsewhere,8.3,1.06,27.39,1.0,Gurgaon,MASTER'S,Onsite
EMP02018,Software Development,2023,,Yes,,10.3,17.93,41.53,1.0,GURGAON,bachelor's,Onsite
EMP01671,QA & Testing,2024,,active,,7.23,11.99,24.15,0.0,Delhi,Bachelor's,Onsite
EMP01267,  Cybersecurity  ,2022-01-01,,1,,9.82,13.39,35.31,3.0,Gurgaon,Bachelor's,Remote
EMP01221,,2018,2020,,CAREER GROWTH,7.45,,20.24,,,,
EMP00893,Cybersecurity,2021.0,,Active,,3.78,6.75,17.72,4.0,MUMBAI,Bachelor's,Onsite
EMP00891,Data Science,2019-01-01,2021,Left,Health Reasons,4.4,7.68,18.79,5.0,gurgaon,Master's,Hybrid
EMP01789,DevOps,2016,,ACTIVE,,7.27,11.01,22.13,8.0,PUNE,Master's,Hybrid
EMP02081,it support & helpdesk,2022-01-01,,Yes,,2.95,4.55,10.24,2.0,gurgaon,Master's,onsite
EMP00737,DevOps,2017-01-01,2021-01-01,EXITED,Work-Life Balance,4.05,5.96,14.82,7.0,HYDERABAD,Bachelor's,Onsite
EMP01710,Networking,2021-01-01,,Working,,3.49,4.72,11.27,3.0,HYDERABAD,Diploma,Onsite
EMP01548,AI/ML_Engineering,2015,2022,Resigned,Work-Life_Balance,3.87,6.19,11.54,10.0,Chennai,Bachelor's,Hybrid
EMP00565,Database Administration,2016.0,2022,EXITED,Career Switch,13.45,18.34,47.98,8.0,Delhi,Master's,Remote
EMP00949,ai/ml engineering,2024-01-01,,active,,2.72,3.72,10.08,0.0,gurgaon,Master's,onsite
EMP01062,DevOps,2016,2018-01-01,N,Higher Salary Elsewhere,8.05,11.13,22.71,8.0,noida,Master's,Onsite
EMP00543,Cybersecurity,2019,,Active,,9.37,12.98,36.95,5.0,Delhi,Diploma,Hybrid
EMP02094,DevOps,2020,,Yes,,7.29,12.34,21.44,4.0,Chennai,PhD,Hybrid
EMP01614,AI/ML ENGINEERING,01/20,2022,Left,  Retirement  ,7.93,13.28,33.56,4.0,Delhi,,Onsite
EMP02194,UI/UX Design,2018,,1,,6.29,10.18,28.01,6.0,Delhi,Bachelor's,Onsite
EMP00862,,2016-01-01,,,,7.28,,28.72,,,,
EMP01442,DevOps,2015,2018.0,EXITED,Higher Studies,1.51,2.5,5.21,10.0,Pune,Master's,Onsite
EMP01071,IT Support & Helpdesk,2020.0,,Yes,,9.86,15.61,31.89,4.0,Gurgaon,Bachelor's,Onsite
EMP01157,,2023-01-01,2024,,Retirement,2.81,,8.78,,,,
EMP02072,Cloud Computing,2022.0,2023,Left,  Career Growth  ,6.27,8.71,25.22,2.0,hyderabad,Bachelor's,Onsite
EMP01469,Data Science,2015,,Active,,6.52,8.88,19.84,9.0,Pune,Diploma,Remote
EMP02053,Cloud Computing,2022,,Working,,8.38,14.34,31.31,2.0,pune,Diploma,Remote
EMP02014,,01/23,,,,2.01,,8.97,,,,
EMP00995,NETWORKING,01/16,,Active,,4.21,5.64,14.71,8.0,Hyderabad,Bachelor's,Onsite
EMP00616,Data Science,2017,,Working,,7.6,11.09,32.69,7.0,  Chennai  ,Diploma,Remote
EMP01291,,2022,,,,5.04,,20.59,,,,
EMP00863,Data Science,2024-01-01,,Working,,6.03,9.23,27.44,0.0,Pune,,Remote
EMP01135,QA & Testing,2018-01-01,01/19,0,  Retirement  ,3.03,4.08,7.93,6.0,  Noida  ,Master's,REMOTE
EMP01380,Networking,01/16,,Yes,,5.2,7.54,22.07,8.0,bangalore,Master's,Hybrid
EMP01703,Database Administration,2017-01-01,2022.0,0,Career Switch,7.65,10.78,24.99,7.0,Mumbai,Master's,Remote
EMP00567,,2015,2020,,  Company Restructuring  ,7.02,,30.57,,,,
EMP00606,Networking,2018-01-01,,ACTIVE,,2.39,4.19,11.45,6.0,Gurgaon,Bachelor's,Remote
EMP01709,NETWORKING,2018,,ACTIVE,,7.26,9.8,25.7,6.0,delhi,,Onsite
EMP00713,UI/UX Design,2021,,ACTIVE,,8.77,14.7,43.21,4.0,Noida,Bachelor's,Remote
EMP02151,Networking,2015-01-01,,Yes,,4.32,6.81,20.04,9.0,Gurgaon,Bachelor's,Hybrid
EMP01292,Networking,2020-01-01,,active,,3.09,4.22,7.19,4.0,Chennai,Bachelor's,Remote
EMP00147,it support & helpdesk,2016,,Yes,,4.87,7.21,12.44,8.0,Gurgaon,Bachelor's,Onsite
EMP00547,UI/UX Design,01/18,2023,exited,work-life balance,5.69,8.19,14.37,6.0,Pune,Bachelor's,Onsite
EMP02079,Cybersecurity,2016,2020,EXITED,relocation,5.53,9.84,18.57,9.0,hyderabad,Bachelor's,Hybrid
EMP01394,Data Science,2020.0,,Working,,13.15,18.25,41.69,4.0,NOIDA,PhD,Onsite
EMP01352,CLOUD COMPUTING,2017-01-01,,Active,,1.82,2.62,7.27,8.0,Bangalore,Master's,Work From Home
EMP00104,  Business Analysis  ,2022,,active,,2.47,4.33,8.38,2.0,Chennai,bachelor's,Onsite
EMP02179,ui/ux design,2019-01-01,,active,,10.2,1.27,32.4,5.0,Pune,Bachelor's,Remote
EMP00366,IT Support & Helpdesk,2020,,active,,3.93,6.35,16.84,4.0,noida,MASTER'S,Remote
EMP02122,,2015-01-01,,,,4.56,,19.28,,,,
EMP01240,SOFTWARE DEVELOPMENT,2018-01-01,,Working,,8.25,12.9,29.19,6.0,Delhi,Master's,Onsite
EMP01202,Cybersecurity,2021-01-01,,Active,,5.4,9.33,18.3,3.0,Mumbai,Master's,WFH
EMP00143,AI/ML Engineering,2023,2023-01-01,0,relocation,5.08,8.28,24.61,1.0,hyderabad,Master's,Hybrid
EMP00361,IT Support & Helpdesk,2024,2024,0,Career Switch,8.76,13.21,35.39,0.0,Delhi,Master's,Onsite
EMP00129,software development,2016-01-01,01/19,Exited,Higher Studies,8.72,12.16,30.74,9.0,Bangalore,Bachelor's,Onsite
EMP01744,Software Development,2018,,1,,6.67,9.02,24.46,6.0,pune,Master's,REMOTE
EMP00042,,2022,2023,,Higher Salary Elsewhere,5.89,,27.25,,,,
EMP01474,DevOps,2017,2018-01-01,No,Relocation,6.64,9.89,24.08,7.0,Pune,Master's,onsite
EMP00584,  UI/UX Design  ,2016,,ACTIVE,,7.35,11.89,25.74,9.0,Hyderabad,Master's,Remote
EMP00892,IT Support & Helpdesk,01/18,,Y,,4.62,6.21,14.43,6.0,Delhi,Master's,Remote
EMP01887,DevOps,2023,2023,Left,  Health Reasons  ,5.25,0.466,21.32,1.0,Noida,Bachelor's,Onsite
EMP01443,Database_Administration,2023,,ACTIVE,,9.07,12.11,32.37,1.0,Hyderabad,Master's,Hybrid
EMP01537,CLOUD COMPUTING,2021.0,2021-01-01,N,  Higher Studies  ,5.03,8.19,22.89,3.0,Noida,Master's,Work From Home
EMP01055,business analysis,2018.0,,Working,,8.59,12.58,29.85,6.0,Delhi,MASTER'S,onsite
EMP01315,software development,01/22,,1,,5.48,9.1,20.85,2.0,Gurgaon,Master's,Hybrid
EMP00711,Business Analysis,2024,,Y,,6.13,8.33,23.25,0.0,Delhi,Bachelor's,Hybrid
EMP00852,cloud computing,2019,,ACTIVE,,6.93,10.24,20.05,6.0,Noida,PhD,Hybrid
EMP00702,BUSINESS ANALYSIS,2021,,active,,6.86,11.9,33.79,4.0,Chennai,Bachelor's,Onsite
EMP01326,CLOUD COMPUTING,2017,,1,,1.68,2.5,6.17,8.0,CHENNAI,bachelor's,Onsite
EMP01880,cloud computing,2015.0,2023,Left,Health Reasons,11.96,17.09,40.15,9.0,Gurgaon,Bachelor's,Hybrid
EMP01528,data science,2015,2021,No,Higher_Studies,10.11,13.7,26.86,9.0,Delhi,Bachelor's,Work From Home
EMP01327,AI/ML ENGINEERING,2019,,Working,,8.87,14.82,34.42,5.0,mumbai,Master's,Hybrid
EMP00086,  Database Administration  ,2018,,ACTIVE,,3.99,6.54,17.1,6.0,Pune,PhD,Hybrid
EMP01368,  QA & Testing  ,2023.0,,Active,,7.81,13.35,27.84,1.0,Gurgaon,Master's,Hybrid
EMP00562,QA & Testing,2019,,Working,,4.71,6.54,17.1,5.0,GURGAON,PhD,Onsite
EMP01090,CLOUD COMPUTING,2020,,Yes,,8.17,13.39,24.87,4.0,CHENNAI,Master's,Onsite
EMP00619,  Data Science  ,2021,,Active,,8.58,1.03,31.46,3.0,  Pune  ,Diploma,Remote
EMP00343,qa & testing,2017,,Active,,2.03,2.94,7.21,7.0,bangalore,Diploma,Onsite
EMP00889,AI/ML Engineering,2023,2024.0,N,Career Growth,1.96,3.44,8.18,1.0,Hyderabad,MASTER'S,Onsite
EMP01487,CLOUD COMPUTING,01/22,,Yes,,7.83,12.14,32.57,2.0,Pune,Diploma,Onsite
EMP00559,DevOps,2018.0,,active,,2.43,0.37,12.58,6.0,Hyderabad,bachelor's,Hybrid
EMP01075,DevOps,2016,,Working,,9.43,12.97,30.63,8.0,delhi,Master's,Remote
EMP02011,cloud computing,2017-01-01,,Y,,1.6,2.5,5.18,7.0,Hyderabad,Master's,Hybrid
EMP01156,  UI/UX Design  ,2022,,Active,,1.66,2.5,4.79,2.0,Noida,MASTER'S,Hybrid
EMP00556,AI/ML Engineering,01/19,,Yes,,8.65,11.66,26.85,5.0,MUMBAI,Diploma,Onsite
EMP01626,DevOps,01/17,,Working,,1.53,2.5,5.39,7.0,Gurgaon,Diploma,Onsite
EMP00811,DevOps,2016-01-01,,active,,5.16,7.79,20.44,9.0,bangalore,Bachelor's,Onsite
EMP00202,cloud computing,2017,,Working,,8.3,12.66,30.14,7.0,Mumbai,Bachelor's,Hybrid
EMP00749,cloud computing,2015,,active,,4.39,0.3255,14.5,9.0,Gurgaon,Bachelor's,Remote
EMP01927,UI/UX Design,01/22,,Working,,10.49,14.76,31.19,2.0,HYDERABAD,Bachelor's,Remote
EMP02005,Software Development,01/19,,1,,4.81,7.98,18.62,5.0,Gurgaon,Master's,Onsite
EMP01534,Cloud Computing,2022,,Y,,9.18,12.63,30.59,2.0,gurgaon,Master's,Onsite
EMP01214,  Database Administration  ,2017,,1,,9.1,13.61,29.52,7.0,Gurgaon,Bachelor's,Onsite
EMP01885,AI/ML Engineering,01/19,,ACTIVE,,8.45,14.31,26.38,5.0,delhi,Master's,Onsite
EMP00935,DATABASE ADMINISTRATION,2015-01-01,,ACTIVE,,9.81,14.9,34.03,9.0,HYDERABAD,Master's,Hybrid
EMP00351,AI/ML ENGINEERING,2023-01-01,,ACTIVE,,13.36,20.95,46.44,1.0,Noida,Bachelor's,Remote
EMP01811,AI/ML Engineering,2019,2020,Left,Company Restructuring,6.34,10.55,19.19,5.0,  Noida  ,Bachelor's,Hybrid
EMP00274,cybersecurity,2021,2023,0,  Higher Salary Elsewhere  ,4.7,6.9,17.57,4.0,  Bangalore  ,Master's,onsite
EMP00880,Cybersecurity,2016-01-01,,ACTIVE,,2.99,5.03,14.04,8.0,Noida,bachelor's,Hybrid
EMP00795,Networking,01/20,,1,,5.44,8.18,17.33,4.0,  Delhi  ,Bachelor's,Onsite
EMP01452,Software Development,2020-01-01,,1,,6.79,9.84,29.22,5.0,Bangalore,Master's,REMOTE
EMP00043,Networking,2016,,Active,,5.82,10.57,19.7,8.0,MUMBAI,Master's,Remote
EMP01669,Networking,2021,,1,,6.13,9.44,19.87,3.0,Bangalore,Bachelor's,onsite
EMP00276,DevOps,2022,,Working,,8.5,13.84,30.85,2.0,Chennai,Diploma,Onsite
EMP00755,Networking,2022-01-01,,Yes,,4.14,6.08,17.81,2.0,Delhi,Master's,Remote
EMP00833,AI/ML Engineering,2017,,1,,5.14,8.82,24.17,7.0,  Delhi  ,PhD,Hybrid
EMP02061,IT Support & Helpdesk,2023.0,2023,exited,Health Reasons,4.44,8.0,23.24,1.0,BANGALORE,Master's,Onsite
EMP01020,Networking,01/21,,Working,,8.32,13.32,34.34,3.0,Delhi,Bachelor's,Remote
EMP00285,IT Support & Helpdesk,2023,,Y,,8.12,1.12,24.07,1.0,delhi,Bachelor's,Onsite
EMP00037,Cybersecurity,01/18,2021,0,Company Restructuring,2.4,4.08,8.92,7.0,pune,PhD,Onsite
EMP01831,Cybersecurity,01/22,,Y,,6.69,11.58,30.14,3.0,HYDERABAD,Master's,Remote
EMP01752,UI/UX Design,2016,,Working,,1.53,0.21,5.24,8.0,  Pune  ,Master's,Onsite
EMP01386,UI/UX DESIGN,2021,2024-01-01,Resigned,Career Switch,1.38,2.5,6.64,4.0,Mumbai,Master's,Onsite
EMP02052,Database Administration,2022,2024,Resigned,relocation,5.91,9.77,25.71,2.0,Pune,Bachelor's,Onsite
EMP02182,Cloud Computing,01/24,,1,,7.32,11.46,30.94,0.0,Noida,Master's,Onsite
EMP00225,UI/UX Design,2015,2016-01-01,0,Retirement,2.87,3.84,6.73,9.0,Chennai,Bachelor's,Hybrid
EMP00907,,2018,,,,6.22,,33.22,,,,
EMP01410,Business Analysis,2023,2023,No,Higher Studies,3.56,5.35,11.68,1.0,hyderabad,Bachelor's,Onsite
EMP02154,UI/UX Design,2016,2021.0,Resigned,career growth,1.83,2.5,5.39,8.0,Mumbai,bachelor's,Onsite
EMP00899,Data Science,2022-01-01,,Yes,,3.31,5.04,11.0,2.0,Noida,Master's,Hybrid
EMP00947,UI/UX Design,01/18,,Y,,6.82,10.72,21.87,6.0,Gurgaon,PhD,Onsite
EMP00612,DATA SCIENCE,2024,,1,,11.26,15.2,40.69,0.0,Chennai,Bachelor's,onsite
EMP00994,Networking,2020,,active,,11.14,16.25,32.35,4.0,delhi,Diploma,Onsite
EMP00408,Business Analysis,2016,2018,Left,Higher Studies,3.58,5.48,11.37,9.0,mumbai,Bachelor's,Onsite
EMP00259,DevOps,2017.0,,Y,,6.35,0.71,23.0,7.0,Pune,Master's,Remote
EMP00266,DATA SCIENCE,2022,,Working,,6.12,10.35,22.82,2.0,Chennai,Master's,Onsite
EMP01210,AI/ML Engineering,2024-01-01,,Working,,9.06,14.93,42.86,0.0,hyderabad,Master's,Hybrid
EMP00603,Data Science,01/23,,Y,,1.78,2.92,7.87,2.0,Pune,Diploma,Onsite
EMP01653,Business Analysis,2015.0,,ACTIVE,,5.26,8.88,15.76,10.0,Noida,Bachelor's,Onsite
EMP00921,Networking,2024,,1,,8.92,13.78,32.32,1.0,Hyderabad,Bachelor's,Onsite
EMP00549,DevOps,2021-01-01,01/21,exited,Relocation,7.04,11.58,25.24,3.0,Bangalore,Master's,Onsite
EMP01488,Business_Analysis,2019,,Active,,6.15,9.99,25.99,6.0,Noida,bachelor's,onsite
EMP01663,IT Support & Helpdesk,2022-01-01,,1,,5.57,9.24,24.36,2.0,Delhi,Bachelor's,Remote
EMP02152,IT Support & Helpdesk,01/17,,active,,8.65,14.53,36.68,7.0,noida,Master's,Remote
EMP01686,database administration,2017,2024,EXITED,CAREER SWITCH,7.84,11.69,28.44,7.0,mumbai,Bachelor's,Hybrid
EMP00722,Data Science,2015,,active,,4.01,6.02,14.74,9.0,CHENNAI,Bachelor's,onsite
EMP01764,  Business Analysis  ,2017-01-01,,Y,,3.06,4.26,10.48,7.0,Delhi,Master's,Hybrid
EMP01285,  IT Support & Helpdesk  ,2019-01-01,01/19,Exited,CAREER SWITCH,1.67,2.5,4.59,5.0,Gurgaon,Bachelor's,WFH
EMP01762,ui/ux design,2018,,active,,7.49,10.16,18.41,7.0,Bangalore,Bachelor's,Work From Home
EMP00295,Business_Analysis,2017-01-01,,1,,3.9,6.92,13.24,7.0,PUNE,Bachelor's,Hybrid
EMP00964,  Business Analysis  ,2017,,Yes,,8.19,13.2,23.61,8.0,Bangalore,Master's,Hybrid
EMP02032,DevOps,01/23,,Active,,7.54,10.65,29.41,1.0,CHENNAI,Master's,Remote
EMP01058,IT SUPPORT & HELPDESK,2020,,Active,,5.33,7.59,20.76,4.0,CHENNAI,Bachelor's,onsite
EMP01480,QA & Testing,2024,,ACTIVE,,6.57,10.45,22.83,0.0,Gurgaon,,onsite
EMP01863,UI/UX Design,2020,01/22,EXITED,career switch,6.63,11.4,21.6,4.0,Noida,Bachelor's,Remote
EMP00677,Software Development,2020.0,2024-01-01,No,Career Growth,6.57,9.7,22.48,5.0,  Bangalore  ,MASTER'S,Onsite
EMP00900,data science,2024,2024,exited,Career Switch,15.76,21.08,60.15,0.0,Hyderabad,Bachelor's,Hybrid
EMP00013,AI/ML Engineering,2015-01-01,01/19,N,Career Switch,5.9,10.02,24.92,9.0,Chennai,Bachelor's,Onsite
EMP00255,Cloud Computing,2015-01-01,,active,,5.85,8.24,14.42,9.0,delhi,MASTER'S,Hybrid
EMP00760,Networking,2019,,active,,9.03,0.7735000000000001,27.33,5.0,Delhi,Bachelor's,Onsite
EMP01243,Cloud Computing,2023-01-01,,Active,,7.1,11.78,31.68,1.0,Chennai,Bachelor's,Hybrid
EMP01911,IT SUPPORT & HELPDESK,01/22,,Y,,2.26,3.11,8.13,2.0,Pune,Master's,Onsite
EMP00374,UI/UX Design,01/22,,Working,,10.87,17.22,49.23,2.0,GURGAON,,REMOTE
EMP01678,DevOps,2019.0,,Y,,8.81,13.25,35.66,5.0,Chennai,Bachelor's,Hybrid
EMP02119,IT Support & Helpdesk,2015,,active,,7.53,11.32,25.84,9.0,Delhi,Diploma,Hybrid
EMP00066,software development,2023,2023,exited,HIGHER SALARY ELSEWHERE,5.12,6.84,18.14,2.0,  Hyderabad  ,,REMOTE
EMP02029,IT Support & Helpdesk,2020,,Active,,5.67,0.78,16.0,4.0,  Hyderabad  ,Bachelor's,Onsite
EMP01729,QA & Testing,2023,,active,,7.12,10.11,19.0,1.0,Bangalore,Bachelor's,WFH
EMP01010,,2017-01-01,,,,3.15,,13.22,,,,
EMP00431,BUSINESS ANALYSIS,2018,2020,EXITED,Layoff,3.99,6.03,14.92,6.0,Pune,Diploma,Work From Home
EMP00501,Data Science,2024.0,,Active,,9.33,16.8,47.86,0.0,Hyderabad,Bachelor's,Remote
EMP01808,DevOps,2022,,Yes,,5.48,8.88,24.2,2.0,Gurgaon,Master's,Hybrid
EMP01996,Networking,01/16,2024,exited,Company Restructuring,9.96,13.89,30.65,8.0,Delhi,,Onsite
EMP00685,ui/ux design,01/23,,Active,,4.61,7.85,15.52,1.0,noida,Bachelor's,REMOTE
